"PONTO","X","Y","CE_0_10","CE_10_30","CE_30_50","ph_0_10","ph_10_30","ph_30_50","CE_1_m","CE_0_5_m","SM_1_m","SM_0_5_m"
"P1",751400,9405174,3.18,6.18,5,8.05,7.97,7.61,65.1129608154297,25.3794574737549,0.680305540561676,0.0695642456412315
"P2",751350,9405164,42.84,20.99,6.76,7.06,7.07,7.18,81.6581039428711,34.2260818481445,0.693939447402954,0.0421136282384396
"P3",751302,9405154,51.46,31.41,37.49,6.51,6.25,6.09,168.57112121582,79.7669830322266,1.37246227264404,0.102613054215908
"P4",751253,9405148,25.81,23.74,30.53,6.83,6.63,6.19,154.864212036133,71.2580261230469,1.59016907215118,0.118401110172272
"P5",751205,9405140,38.32,29.96,28.37,7,6.07,4.45,212.233581542969,103.851722717285,1.70927286148071,0.163143038749695
"P6",751201,9405190,96.49,60,25.96,6.47,7.02,7.32,229.827728271484,112.707847595215,1.91042900085449,0.179820150136948
"P7",751252,9405198,0.98,14.2,17.66,7.99,7.48,6.85,153.12580871582,72.8821792602539,1.59357881546021,0.176551103591919
"P8",751302,9405204,15.94,23.9,23.09,7.37,7.19,7.14,152.219589233398,69.5884170532227,1.33237290382385,0.128349646925926
"P9",751352,9405214,47.83,22.38,17.85,7.06,6.95,7.18,138.793807983398,63.3312225341797,1.0162045955658,0.0793163925409317
"P10",751401,9405222,55.29,12.14,7.7,7.18,7.61,7.69,97.564697265625,43.3925819396973,0.681347131729126,0.0420252569019794
"P11",751392,9405272,1.75,4.73,3.44,8.16,7.25,7.78,221.489486694336,157.845809936523,1.04456603527069,0.148008763790131
"P12",751343,9405268,4.28,9.31,19.41,7.85,7.28,6.55,249.538314819336,144.394897460938,1.62105667591095,0.235827758908272
"P13",751296,9405258,0.97,2.72,12.52,8.33,7.85,6.28,274.207580566406,157.524917602539,1.99112021923065,0.288625717163086
"P14",751244,9405250,1.48,1.45,0.33,8.31,8.12,7.77,109.966079711914,56.4199905395508,1.05314981937408,0.0810910239815712
"P15",751196,9405242,4.34,1.32,0.31,8.34,7.94,7.33,391.291046142578,290.208343505859,2.11801886558533,0.246691673994064
"P16",751189,9405290,5.41,1.36,24.18,7.34,6.85,6.93,327.286499023438,244.518524169922,1.7250964641571,0.259939610958099
"P17",751244,9405300,1.37,2.52,7.47,7.96,7.57,6.41,419.000183105469,338.184112548828,2.22627925872803,0.318238228559494
"P18",751293,9405308,0.49,0.45,3.66,8.14,7.57,7.59,408.835876464844,419.492767333984,1.84218764305115,0.255297273397446
"P19",751342,9405316,4,4.63,5.81,7.91,7.56,7.5,251.523544311523,239.506500244141,1.086798787117,0.104847721755505
"P20",751392,9405326,23.54,0.8,1.49,7.57,8.11,8.11,137.482147216797,102.423492431641,0.777143597602844,0.0971748903393745
"P26",751187,9405390,5.08,10.23,21.27,7.82,7.32,7.33,125.31583404541,54.5903511047363,1.57516777515411,0.154167667031288
"P27",751237,9405400,1.44,2.29,4.73,8.35,7.57,7.55,122.858039855957,49.308765411377,1.65868961811066,0.166239649057388
"P28",751291,9405404,2.19,3.6,4.13,8.12,7.85,7.59,61.1866073608398,18.0771083831787,0.75174343585968,0.0573493018746376
"P29",751338,9405410,4.23,5.36,3.59,7.91,7.64,7.64,59.9834480285645,17.136100769043,0.590486407279968,0.0443094074726105
"P30",751393,9405426,6.4,4.27,3.12,7.93,7.84,7.77,74.3812255859375,30.5662975311279,0.619336664676666,0.04349335283041
"P31",751389,9405472,31.61,2.39,4.82,8.04,8.17,8.29,91.0513305664062,38.7140922546387,0.700923204421997,0.0743032097816467
"P32",751336,9405464,53.78,8.18,4.29,7.15,7.6,7.85,72.4270095825195,30.2161388397217,0.748680472373962,0.0612007193267345
"P33",751285,9405458,101,21.24,17.19,6.62,7.56,7.56,105.782272338867,50.1897087097168,1.41272568702698,0.208992213010788
"P34",751236,9405448,46.03,18.63,19.01,7.57,7.68,7.53,119.14232635498,59.1017303466797,1.32256853580475,0.151324599981308
"P35",751187,9405438,27.56,9.49,11.75,7.84,8.02,6.95,114.395866394043,51.5536994934082,1.33150625228882,0.144660368561745
